Unnamed: 0,company_name,yc_url,tagline,description,batch,company_type,industry_tags,location,country,company_website,founded_year,team_size,facebook,linkedin,crunchbase,twitter,founder_names,number_of_founders
10,Resonance,https://www.ycombinator.com/companies/resonance,Optimally upsell users within your product,Resonance is an AI-driven platform that maximizes NRR through targeted in-product messaging.,W24,ACTIVE,"ARTIFICIAL-INTELLIGENCE, CUSTOMER-SUPPORT, ENTERPRISE-SOFTWARE, REINFORCEMENT-LEARNING, SAAS",San Francisco,United States,https://www.useresonance.com/,2023,1,Not Available,https://www.linkedin.com/company/99332802/admin/feed/posts/,Not Available,Not Available,Jonathan Ou,1
11,Heroku,https://www.ycombinator.com/companies/heroku,Enabling developers to build and run applications in the cloud.,"Heroku, a Salesforce company and industry pioneer in platform as a service (PaaS), enables developers to build and run applications entirely in the cloud. Heroku provides companies from startups to Fortune 500 enterprises with a faster and more effective way to create, deploy, and manage apps.Heroku operates the worlds largest PaaS, continuously delivering millions of apps with 6+ million container deployments, 60+ billion routing requests, and 10+ terabytes of application logs per day.",W08,ACQUIRED,Not Available,San Francisco,United States,http://heroku.com,2007,300,Not Available,https://www.linkedin.com/company/heroku/,https://www.crunchbase.com/organization/heroku,https://twitter.com/heroku,"Orion Henry, James Lindenbaum, Adam Wiggins",3
12,Abalone Bio,https://www.ycombinator.com/companies/abalone-bio,We discover antibody drugs others can't,"Abalone Bio developed a technology to find antibody drugs that activate and modulate cell surface receptors, the antennae on cells that help convert chemical signals into cellular responses, like growth. Antibodies are a growing class of drugs that have tremendous safety and efficacy advantages over small molecules; 7 of the top 10 selling drugs are antibodies, earning an average of $7B in revenue. However, antibodies- especially ones that activate and modulate cell surface receptors- are hard to find. Abalone Bio expands the playing field for antibody therapeutics and enables us to previously access treatments for untreated diseases.We have already discovered a novel antibody that activates a non-opioid receptor that produces analgesia. We are developing this antibody into a treatment for neuropathic pain  a medical condition that currently is treated with drugs like addictive opiates. The same molecule is also a potential treatment for inflammatory and fibrotic diseases, all 1B+ markets.",W20,ACTIVE,"DRUG-DISCOVERY, Machine Learning, SYNTHETIC-BIOLOGY","Emeryville, CA",United States,https://www.abalonebio.com,2018,12,Not Available,https://www.linkedin.com/company/18295627,https://www.crunchbase.com/organization/abalone-bio-inc,Not Available,"Richard Yu, Gustavo Pesce",2
13,Hive Health,https://www.ycombinator.com/companies/hive-health,Simplified digital health insurance for Filipino SMBs,Not Available,S21,ACTIVE,"DIGITAL-HEALTH, FINTECH, HEALTH-INSURANCE, PAYMENTS, TELEHEALTH",Philippines,Philippines,https://www.ourhivehealth.com,2021,Not Available,Not Available,https://www.linkedin.com/company/our-hive-health,Not Available,Not Available,"Camille Ang, Jiawen Tang",2
14,Lalabox,https://www.ycombinator.com/companies/lalabox,Live stream shopping for beauty products,Not Available,W21,INACTIVE,"CONSUMER, E-COMMERCE",San Francisco,United States,https://lalabox.io,2021,4,Not Available,Not Available,Not Available,https://twitter.com/lalaboxio,"Kirill Avery, Yurii Kyparus (Yatsenko)",2
15,SafetyKit,https://www.ycombinator.com/companies/safetykit,AI-Powered Trust and Safety Automation,"SafetyKit replaces human Trust and Safety reviewers with language models.We make it easy for enterprise Trust and Safety teams to supercharge their content review workflows  speeding up agent decision-making 5x or by automating the review altogether  and significantly reduce operations costs with faster, more accurate decisions.With SafetyKit, Trust and Safety teams write their policies in natural language and use them to detect and action nefarious content, instantly.  Each decision is accompanied by an explanation grounded in your policies  not a generic definition or model score.  We allow TnS teams to confidently scale their capacity, freeing up your agents for the highest leverage work, while reducing those agents exposure to problematic content.",S23,ACTIVE,Not Available,Not Available,Not Available,https://www.safetykit.com/,2023,3,Not Available,Not Available,Not Available,Not Available,"David Graunke, Steven Guichard, Alex Rosenblatt",3
16,Weave,https://www.ycombinator.com/companies/weave-2,AI-assisted professional networking.,"Weave delivers a personalized professional introduction every week (YCS14)Follow us :)Twitter: @startweaving, #startweavingFacebook: weavenetworkingWebsite: http://www.weave.in/Email: lisa@weave.inHappy Weaving!The Weave Team",S14,INACTIVE,ARTIFICIAL-INTELLIGENCE,San Francisco,United States,http://weave.in,Not Available,11,Not Available,Not Available,https://www.crunchbase.com/organization/weave-2,Not Available,Brian Ma,1
17,FidoCure®,https://www.ycombinator.com/companies/fidocure,FidoCure is the leader in Precision Medicine for Canine Oncology.,"Cancer is a genetic disease. We know this from decades of human and veterinary cancer research. Precision medicine and targeted therapies are successfully used to treat humans with cancer. At FidoCure, we bring this approach to the world of veterinary medicine. FidoCure empowers veterinarians to offer genetic sequencing and targeted therapies to treat dogs with cancer. We are committed to expanding the veterinary oncology toolbox for both diagnostics and therapeutics. Our veterinary partners have treated thousands of dogs over the past 30 years and work closely with the growing FidoCure network of over 143 clinics and 180 forward-thinking veterinary oncologists throughout the US.Together, we can combat canine cancer!",W18,ACTIVE,ONCOLOGY,Palo Alto,United States,https://www.fidocure.com/,Not Available,14,https://www.facebook.com/FidoCure/,https://www.linkedin.com/company/the-one-health-company/,https://www.crunchbase.com/organization/the-one-health-company,https://twitter.com/fidocure,Christina K. Lopes,1
18,Persana AI,https://www.ycombinator.com/companies/persana-ai,Intelligent sales copilot powered by fine tuned models,"Persana AI is an intelligent sales copilot powered by our own custom fine tuned models. We ingest all of a companys internal CRM data, combine it with public web sources on each of their prospects, and give them insights on who to prioritize based on crucial intent signals so that they capture ripe opportunities . For instance, when a lead visits the company website or gets funding, Persana AI can notify the sales team and generate an email to send out right away.",W23,ACTIVE,"ARTIFICIAL-INTELLIGENCE, GENERATIVE-AI, SALES",San Francisco,United States,https://www.persana.ai/,2023,2,Not Available,https://www.linkedin.com/company/persana-ai/?viewAsMember=true,Not Available,https://twitter.com/PersanaAi,"Sriya Maram, Rush Shahani",2
19,CarDash,https://www.ycombinator.com/companies/cardash,Managed marketplace for automotive services.,"Taking care of your car doesnt need to be a painful or archaic experience. CarDash picks up your car from home or work, oversees the work, and returns your car to you. We also offer upfront and transparent pricing and serve as your advocate so you are never overcharged. We are on the verge of a major transformation in our relationship with the automobile. Connected cars, self-driving cars, mainstream electric vehicles, and new economic models of car ownership are all coming within the next decade. These could bring about a transportation revolution as disruptive as the adoption of the automobile itself. We dont know how or when these changes will unfold, nor do we know which technologies will triumph. We do however know that all cars on the road will need to be serviced, regardless of who owns them, who drives them, or what powers them. By leveraging technology, logistical efficiency, and above allsuperior service, CarDash aspires to become the service platform for the automotive industry of tomorrow.",S17,ACQUIRED,MARKETPLACE,"Menlo Park, CA",United States,https://www.repairsmith.com,2016,12,Not Available,Not Available,https://www.crunchbase.com/organization/cardash,Not Available,Yinon Weiss,1
20,Hubla,https://www.ycombinator.com/companies/chatpay,The platform to create an online coaching business,Chatpay allows anyone to create an online coaching business through WhatsApp or Telegram groups. For example a fitness coach can charge her audience to join an exclusive group where she will run an entire weight loss fitness program.Covid killed lots of jobs and brought the need for people to reinvent themselves. This accelerated a larger trend of individuals building and charging their audience directly. Our top coach left her job as a lawyer and it's making $300k per year with her groups in BrazilChatPay is set to be the largest enabler of this new behavior because we are the only one reaching normal people where they actually are - on messenger apps. Chat wins over long-format content and has better engagement which makes it easier to become mainstream.,S20,ACTIVE,"FINTECH, MARKETPLACE, SAAS",Brazil,Brazil,https://chatpay.com.br,2020,7,Not Available,Not Available,Not Available,Not Available,"Arthur Alvarenga, Breno Oliveira, Bernardo Reis, Raphael Capelo",4
21,Conduit,https://www.ycombinator.com/companies/conduit,Software for warehouses to automate schedules with trucks.,"ConduitOpenTable for warehousesmakes software for warehouses to automate scheduling with truckers. Every day, hundreds of thousands of warehouses have trucks waiting in lines because scheduling and check in is currently done with email, spreadsheets and paper. Conduit automates these processes to help trucks get in and out faster and warehouses get products in and out faster. Conduit is easy to integrate with shipper transportation and warehouse management systems, as well as carrier and broker systems.",W23,ACTIVE,"B2B, ENTERPRISE-SOFTWARE, LOGISTICS, SAAS, TRANSPORTATION",San Francisco,United States,http://helloconduit.com,2023,4,Not Available,https://www.linkedin.com/company/getconduit/,Not Available,Not Available,Conrad Lilleness,1
22,Posh,https://www.ycombinator.com/companies/posh,Making sustainable batteries,"We design, develop and manufacture sustainable battery solutions.",W22,ACTIVE,"Climate Tech, Energy, ROBOTICS",San Francisco,United States,https://www.poshrobotics.com/,2022,4,Not Available,https://www.linkedin.com/company/posh-robotics,https://www.crunchbase.com/organization/posh-2ec7,https://twitter.com/PoshElectric,"Wesley Zheng, Minh Chung Hoang",2
23,Filta,https://www.ycombinator.com/companies/filta,The Face Filter NFT Marketplace,"Filta is the face filter NFT marketplace being built by veterans from Pixar/Oculus/Facebook. We partner with creators to release limited-edition filters for their fans to use on social media. It turns out: the face filters you see everywhere on Snapchat and Instagram are created by independent artists - not by the platforms. These artists ALMOST NEVER get money for their work - which is insane! Filta fixes this by giving these creators a marketplace and the best filter creation tool anywhere. Interested in working on the future of digital fashion, AR/VR, and web3? Hit us up. We're hiring.",S21,ACTIVE,"AUGMENTED-REALITY, CRYPTO-WEB3, VIRTUAL-REALITY",San Francisco,United States,http://www.getfilta.com,2021,3,Not Available,https://www.linkedin.com/company/filtaapp,Not Available,https://twitter.com/GetFilta,Chris Horne,1
24,Labdoor,https://www.ycombinator.com/companies/labdoor,Labdoor is building the trusted online drugstore.,"Labdoor is a marketplace where consumers research, find, and buy the best supplements.To verify the purity and potency of these products, Labdoor first buys and tests actual dietary supplement samples: We send each product to an FDA-registered laboratory for a detailed chemical analysis. Our scientists then collect the laboratory results and use internal algorithms to translate this data into simple grades and rankings for consumers. Find a product you love? Click buy it now to activate in-app purchases.",W15,ACTIVE,"CONSUMER-HEALTH-SERVICES, MARKETPLACE",San Francisco,United States,https://labdoor.com,2012,11,https://www.facebook.com/labdoor/,https://www.linkedin.com/company/labdoor,https://www.crunchbase.com/organization/labdoor,https://twitter.com/labdoor,"Neil Thanedar, Rafael Ferreira, Helton Souza",3
25,Kidato,https://www.ycombinator.com/companies/kidato,Online school for K12 education in Africa,"Parents in Africa face either public schools with student-teacher ratios as high as 50:1 or private schools with tuition fees as high as $7500 per year, per child. Kidato classes have student-teacher ratios of 5:1 and teach the same rigorous international curriculum as other private schools  but at a fraction of the price. In our second semester, Kidato has enrolled more than 30 students into our learning-from-home program as a replacement for brick-and-mortar schools. We expect to triple this enrollment by our third semester.",W21,ACTIVE,"EDUCATION, ELEARNING","Nairobi, Kenya",Kenya,https://www.kidato.co,2020,15,https://www.facebook.com/kidatorian,Not Available,Not Available,https://twitter.com/kidatorian,Sam Gichuru,1
26,TrueClaim,https://www.ycombinator.com/companies/trueclaim,Automatically saving self-insured companies 7% on healthcare,"TrueClaim processes all payments between healthcare providers and companies that self-fund their insurance. Unlike incumbents, TrueClaim uses newly available data and AI to save companies 7% of their healthcare costs.",W24,ACTIVE,"HEALTH-INSURANCE, HEALTH-TECH, HEALTHCARE, HR-TECH, SAAS",San Francisco,United States,https://www.trytrueclaim.com,2023,2,Not Available,https://www.linkedin.com/company/trytrueclaim,Not Available,Not Available,"Barbora Howell, Bobby Bayer",2
27,Ramen VR,https://www.ycombinator.com/companies/ramen-vr,Have you heard of Ready Player One?  We're building it for real people,"Have you heard of Ready Player One?  Well, we're building it for real people: We're building the next reality featuring an infinite universe where millions of people can build new lives together in a gorgeous, cyberpunk and inspired world. We're starting with Zenith, a massively multiplayer online roleplaying game that is cross platform for VR, desktop, and console. Ramen VR was started in early 2019 in the Bay Area by Andy and Lauren, gaming tech engineers with decades of combined experience at Google, Unity, OpenFeint, and some very successful mobile and social games.We're funded by some of the best investors and gaming entrepreneurs in the world including YCombinator, The Makers Fund, Twitch COO Kevin Lin, and Kabam Cofounder Holly Liu and also the most successful VR Gaming Kickstarter of all time.We believe great games change the world for the better. Great games inspire creativity, teach grit, and most importantly, build community.",S19,ACTIVE,"GAMING, SOCIAL, VIRTUAL-REALITY",San Francisco,United States,https://ramenvr.com/,2019,21,Not Available,Not Available,Not Available,https://twitter.com/zenithmmo,"Lauren Frazier, Andy Tsen",2
28,Concourse,https://www.ycombinator.com/companies/concourse,"Connect, chat, and work with your financial data",Not Available,W23,ACTIVE,"ARTIFICIAL-INTELLIGENCE, B2B, FINTECH, PAYMENTS, SAAS",San Francisco,United States,https://concourse.co/,2022,5,Not Available,Not Available,Not Available,Not Available,"Matthieu Hafemeister, Ted Michaels",2
29,Kashin,https://www.ycombinator.com/companies/kashin,Credit for the emerging economy in Latam,"Credit for the emerging economy in Latam.We have 10K users and nearly $2M in annualized revenue, from our small loans to micro-merchants and individuals in the informal economy.We do our underwriting with our proprietary AI risk model processing 250+ variables from the user's smartphone and credit bureau.",S22,ACTIVE,FINTECH,"Lima, Peru",Peru,https://kashin.app/,2020,45,https://www.facebook.com/kashinpe,https://www.linkedin.com/company/68777723,https://www.crunchbase.com/organization/kashin,https://twitter.com/kashin_app,"Christophe Robilliard, Jose Palacios",2
30,CapWay,https://www.ycombinator.com/companies/capway,Inclusive financial technology service provider.,"CapWay is a financial technology company that creates financial access and opportunity for all via our ecosystem, including digital banking tools, savings tools, financial content, and inclusion consumer fintech products. The company fills financial gaps and provides solutions for the growing cashless economy and those who are looking to move away from the traditional financial system, including those who have been misunderstood, overlooked, and underserved.CapWay has a B2C and B2B2C customer acquisition strategy.",S20,ACTIVE,"CONSUMER, ENTERPRISE, FINTECH, NEOBANK, SAAS","Atlanta, GA",United States,http://www.CapWay.com,2017,9,Not Available,Not Available,https://www.crunchbase.com/organization/capway,Not Available,Sheena Allen,1
31,Jellyfish Art,https://www.ycombinator.com/companies/jellyfish-art,Not Available,"Jellyfish Art makes jellyfish aquariums and supplies them with live jellyfish and accessories. Jellyfish are a new trend in personal aquariums. They require specialized tanks with water flow patterns that keep the jellyfish suspended in the middle of the tank away from filtration intakes. They also require specialized food made from frozen plankton. Jellyfish Art sells everything needed to keep jellyfish in a personal aquarium, including the live jellyfish, which can be shipped anywhere in the U.S. via overnight express delivery.The company sells all of its products through its website and ships from a warehouse located in San Francisco, CA. It is the flagship site of AnyVivo.",W12,INACTIVE,Not Available,San Francisco,United States,http://jellyfishart.com,Not Available,2,Not Available,Not Available,https://www.crunchbase.com/organization/jellyfish-art,Not Available,"Alex Andon, Cam Urban",2
32,Blok,https://www.ycombinator.com/companies/blok,A platform for fitness instructors to build their business and,"Fitness professionals have large, loyal followings, but dont have the tools to build scalable businesses. Blok makes it easy for fitness professionals to teach live classes, sell content, get paid for differentiated services, partner with brands, reward their community, and build a unique brand online.Fitness entrepreneurs will continue to unbundle from brands and will be armed with Blok's digital tools to monetize their audiences directly.",W20,INACTIVE,"FITNESS, HEALTH-&-WELLNESS, SPORTS-TECH",San Francisco,United States,https://blok.fit,2019,2,Not Available,Not Available,Not Available,Not Available,Sahana Rajasekar,1
33,Propexo,https://www.ycombinator.com/companies/propexo,Plaid for Commercial Real Estate,"Propexo lets engineers build, test, and launch CRE software integrations in days, not months. We modernize the developer experience for our customers, providing clear documentation and robust infrastructure to support the needs of property owners, property managers, & proptechs.",W23,ACTIVE,"API, B2B, DEVELOPER-TOOLS, PROPTECH, SAAS",Boston,United States,https://propexo.com,2022,6,Not Available,https://www.linkedin.com/company/getpropify/,Not Available,Not Available,"Remen Okoruwa, Nick Johnson, Ben Keller",3
34,HoverChat,https://www.ycombinator.com/companies/hoverchat,Message without interrupting what you're doing,HoverChat is an app focused on making messaging more of a multi-tasking experience and allow users to use the messaging service without interrupting their work flow.The app is currently available on Android phones.,W14,INACTIVE,MESSAGING,"Santa Clara, CA",United States,http://hoverchat.com,Not Available,11,Not Available,Not Available,https://www.crunchbase.com/organization/hoverchat,Not Available,"Wael Nafee, Ahmed Galal, Mostafa Gazar",3
35,Lightly,https://www.ycombinator.com/companies/lightly,Help ML teams label the right data,"When ML teams send their data to companies like Scale.ai for labeling, most can only afford to label 1% or less of their datasets.  But today they dont have a good way to pick which 1% to label. We help them pick the best 1% of their data to label.  By labeling the most representative data, they significantly improve model accuracy at the same cost.",S21,ACTIVE,"Data Tech, Machine Learning","Zrich, Switzerland",Switzerland,https://lightly.ai/,2018,5,Not Available,https://www.linkedin.com/company/lightly-tech,https://www.crunchbase.com/organization/mirage,https://twitter.com/LightlyAI,"Igor Susmelj, Matthias Heller",2
36,Thread,https://www.ycombinator.com/companies/thread-2,Lifeline for your business,"Thread simplifies the business processes for manufacturing companies. Upload your company documents to our secure platform, collaborate seamlessly across your organization to respond to vendor questionnaires.",W23,ACTIVE,"ARTIFICIAL-INTELLIGENCE, B2B, DEVELOPER-TOOLS, ENTERPRISE, MANUFACTURING","Chattanooga, TN",United States,https://www.usethread.io,2023,2,https://www.facebook.com/profile.php?id=100088329889920,https://www.linkedin.com/company/thread-incorporated/,https://www.crunchbase.com/organization/thread-6984,https://twitter.com/usethreadio,"Harsha Vankayalapati, Akeem Williams",2
37,Kiosk,https://www.ycombinator.com/companies/kiosk,WhatsApp Marketing for E-commerce,"At Kiosk, we help companies engage with their customers on their preferred app, WhatsApp.In short, we blend AI agents and traditional marketing tools (Campaigns, Workflows) to generate personalised conversations at scale. Think of us like the MailChimp for WhatsApp, with a conversational AI twist While WhatsApp is a key revenue driver in markets like India, its vast potential in Europe and Emerging Markets is still largely untapped!",W24,ACTIVE,"ARTIFICIAL-INTELLIGENCE, AUTOMATION, MARKETING, MESSAGING","Paris, France",France,https://www.kiosk.so,2023,5,Not Available,https://www.linkedin.com/company/getkiosk,Not Available,Not Available,"Paul Lafforgue, Thomas Sohet",2
38,SevnAI,https://www.ycombinator.com/companies/sevnai,Foundation Models for Graphic Designs,"We build foundation models for graphic design. For example, SMBs use them to generate social media graphics 10x faster than hiring designers.",W24,ACTIVE,"ARTIFICIAL-INTELLIGENCE, DESIGN, GENERATIVE-AI",San Francisco,United States,http://sevn.ai,2023,2,Not Available,Not Available,Not Available,https://twitter.com/sevn_ai,"Jean Kaddour, Srijan Patel",2
39,BHRD,https://www.ycombinator.com/companies/bhrd,BHRD (Be Heard) helps public companies communicate with investors.,Not Available,S18,INACTIVE,INVESTING,"Toronto, Canada",Canada,http://bhrdglobal.com,Not Available,3,Not Available,Not Available,https://www.crunchbase.com/organization/bhrd,https://twitter.com/letsBHRD,"William Ma, Joshua Duggan, Michael Liao",3
40,DaLMatian,https://www.ycombinator.com/companies/dalmatian,The first autonomous AI data analyst agent,"DaLMatian is the first autonomous AI data analyst. We're building a multi-step reasoning agent that combines text-to-sql, segmentation, anomaly detection, and other tools to help decision makers generate more revenue.Founded by three friends who met in undergrad at Princeton, our experience includes AI at Google Research, engineering at Google & Duolingo, quant trading at Virtu, and analytics at Riskified.",W24,ACTIVE,"ANALYTICS, ARTIFICIAL-INTELLIGENCE, B2B, GENERATIVE-AI",Not Available,Not Available,https://www.dalmatian.ai/,2023,3,Not Available,https://www.linkedin.com/company/dalmatian-ai,Not Available,Not Available,"Alan Du, Jason Cai, Derrick Xin",3
41,Lattice,https://www.ycombinator.com/companies/lattice,Modern people management platform.,"Lattice is people success software that empowers leaders to build engaged and high- performing teams, inspire winning cultures, and make strategic, data-driven business decisions. Our software helps nearly 4,000 companies globally align employees to the most critical objectives, measure and reward performance, and create an effective feedback loop between employees and managers.",W16,ACTIVE,HR-TECH,San Francisco,United States,https://lattice.com,2015,540,Not Available,https://www.linkedin.com/company/lattice-hq/,https://www.crunchbase.com/organization/lattice-2,https://twitter.com/latticehq,Jack Altman,1
